Time,LSensor,RSensor,NLSensor,NRSensor,LSpeed,RSpeed,
10.030, 333, 225, 675, 281, 30, 30,
10.030, 333, 226, 675, 287, 30, 30,
10.030, 333, 227, 675, 293, 30, 30,
10.030, 333, 228, 675, 300, 30, 30,
10.030, 333, 227, 675, 293, 30, 30,
10.030, 332, 228, 668, 300, 30, 30,
10.064, 333, 228, 675, 300, 30, 30,
10.064, 332, 230, 668, 312, 30, 30,
10.064, 333, 229, 675, 306, 30, 30,
10.064, 332, 229, 668, 306, 30, 30,
10.064, 332, 229, 668, 306, 30, 30,
10.064, 331, 229, 662, 306, 30, 30,
10.097, 330, 229, 655, 306, 30, 30,
10.097, 331, 229, 662, 306, 30, 30,
10.097, 330, 229, 655, 306, 30, 30,
10.097, 331, 230, 662, 312, 30, 30,
10.097, 330, 230, 655, 312, 30, 30,
10.097, 330, 230, 655, 312, 30, 30,
10.130, 330, 231, 655, 318, 30, 30,
10.130, 329, 231, 648, 318, 30, 30,
10.130, 330, 231, 655, 318, 30, 30,
10.130, 329, 231, 648, 318, 30, 30,
10.130, 328, 231, 641, 318, 30, 30,
10.130, 329, 231, 648, 318, 30, 30,
10.130, 329, 232, 648, 325, 30, 30,
10.163, 329, 232, 648, 325, 30, 30,
10.163, 327, 232, 634, 325, 30, 30,
10.163, 327, 231, 634, 318, 30, 30,
10.163, 326, 231, 627, 318, 30, 30,
10.163, 326, 231, 627, 318, 30, 30,
10.163, 324, 231, 613, 318, 30, 30,
10.196, 323, 232, 606, 325, 30, 30,
10.196, 322, 232, 600, 325, 30, 30,
10.196, 321, 232, 593, 325, 30, 30,
10.196, 321, 232, 593, 325, 30, 30,
10.196, 321, 233, 593, 331, 30, 30,
10.196, 320, 233, 586, 331, 30, 30,
10.229, 319, 233, 579, 331, 30, 30,
10.229, 318, 233, 572, 331, 30, 30,
10.229, 317, 234, 565, 337, 30, 30,
10.229, 317, 234, 565, 337, 30, 30,
10.229, 316, 234, 558, 337, 30, 30,
10.229, 315, 233, 551, 331, 30, 30,
10.262, 315, 233, 551, 331, 30, 30,
10.262, 314, 234, 544, 337, 30, 30,
10.262, 312, 235, 531, 343, 30, 30,
10.262, 312, 234, 531, 337, 30, 30,
10.262, 311, 235, 524, 343, 30, 30,
10.262, 311, 235, 524, 343, 30, 30,
10.296, 310, 236, 517, 350, 30, 30,
10.296, 308, 234, 503, 337, 30, 30,
10.296, 308, 235, 503, 343, 30, 30,
10.296, 308, 235, 503, 343, 30, 30,
10.296, 309, 236, 510, 350, 30, 30,
10.296, 307, 235, 496, 343, 30, 30,
10.329, 306, 236, 489, 350, 30, 30,
10.329, 308, 235, 503, 343, 30, 30,
10.329, 306, 236, 489, 350, 30, 30,
10.329, 307, 236, 496, 350, 30, 30,
10.329, 306, 238, 489, 362, 30, 30,
10.329, 307, 236, 496, 350, 30, 30,
10.329, 307, 235, 496, 343, 30, 30,
10.362, 307, 235, 496, 343, 30, 30,
10.362, 307, 234, 496, 337, 30, 30,
10.362, 306, 234, 489, 337, 30, 30,
10.362, 306, 235, 489, 343, 30, 30,
10.362, 306, 235, 489, 343, 30, 30,
10.395, 306, 235, 489, 343, 30, 30,
10.395, 305, 235, 482, 343, 30, 30,
10.395, 304, 234, 475, 337, 30, 30,
10.395, 303, 234, 468, 337, 30, 30,
10.395, 303, 235, 468, 343, 30, 30,
10.395, 303, 235, 468, 343, 30, 30,
10.395, 302, 235, 462, 343, 30, 30,
10.428, 302, 235, 462, 343, 30, 30,
10.428, 300, 234, 448, 337, 30, 30,
10.428, 300, 233, 448, 331, 30, 30,
10.428, 299, 234, 441, 337, 30, 30,
10.428, 299, 233, 441, 331, 30, 30,
10.428, 299, 234, 441, 337, 30, 30,
10.461, 298, 234, 434, 337, 30, 30,
10.461, 298, 235, 434, 343, 30, 30,
10.461, 298, 239, 434, 368, 30, 30,
10.461, 295, 240, 413, 375, 30, 30,
10.461, 296, 242, 420, 387, 30, 30,
10.461, 296, 243, 420, 393, 30, 30,
10.495, 295, 243, 413, 393, 30, 30,
10.495, 293, 243, 400, 393, 30, 30,
10.495, 293, 243, 400, 393, 30, 30,
10.495, 292, 243, 393, 393, 30, 30,
10.495, 292, 243, 393, 393, 30, 30,
10.495, 289, 240, 372, 375, 30, 30,
10.528, 288, 239, 365, 368, 30, 30,
10.528, 287, 239, 358, 368, 30, 30,
10.528, 286, 238, 351, 362, 30, 30,
10.528, 286, 238, 351, 362, 30, 30,
10.528, 287, 238, 358, 362, 30, 30,
10.528, 287, 238, 358, 362, 30, 30,
10.561, 287, 237, 358, 356, 30, 30,
10.561, 286, 237, 351, 356, 30, 30,
10.561, 285, 238, 344, 362, 30, 30,
10.561, 284, 240, 337, 375, 30, 30,
10.561, 284, 240, 337, 375, 30, 30,
10.561, 281, 241, 317, 381, 30, 30,
10.594, 277, 242, 289, 387, 60, 0,
10.594, 274, 241, 268, 381, 60, 0,
10.594, 275, 242, 275, 387, 60, 0,
10.594, 273, 244, 262, 400, 60, 0,
10.594, 273, 245, 262, 406, 60, 0,
10.594, 272, 246, 255, 412, 60, 0,
10.627, 270, 247, 241, 418, 60, 0,
10.627, 267, 250, 220, 437, 60, 0,
10.627, 269, 251, 234, 443, 60, 0,
10.627, 268, 252, 227, 450, 60, 0,
10.627, 268, 253, 227, 456, 60, 0,
10.627, 265, 251, 206, 443, 60, 0,
10.660, 265, 247, 206, 418, 60, 0,
10.660, 263, 246, 193, 412, 60, 0,
10.660, 264, 244, 200, 400, 60, 0,
10.660, 268, 243, 227, 393, 60, 0,
10.660, 271, 240, 248, 375, 60, 0,
10.660, 274, 238, 268, 362, 60, 0,
10.693, 277, 233, 289, 331, 60, 0,
10.693, 282, 228, 324, 300, 30, 30,
10.693, 281, 220, 317, 250, 30, 30,
10.693, 284, 217, 337, 231, 30, 30,
10.693, 287, 213, 358, 206, 30, 30,
10.693, 292, 209, 393, 181, 30, 30,
10.727, 299, 206, 441, 162, 30, 30,
10.727, 303, 204, 468, 150, 30, 30,
10.727, 308, 202, 503, 137, 30, 30,
10.727, 310, 201, 517, 131, 30, 30,
10.727, 315, 202, 551, 137, 30, 30,
10.727, 320, 201, 586, 131, 30, 30,
10.727, 324, 202, 613, 137, 30, 30,
10.760, 326, 200, 627, 125, 30, 30,
10.760, 326, 197, 627, 106, 30, 30,
10.760, 329, 195, 648, 93, 30, 30,
10.760, 330, 194, 655, 87, 30, 30,
10.760, 331, 195, 662, 93, 30, 30,
10.760, 334, 199, 682, 118, 30, 30,
10.793, 336, 198, 696, 112, 30, 30,
10.793, 335, 196, 689, 100, 0, 60,
10.793, 332, 193, 668, 81, 0, 60,
10.793, 331, 192, 662, 75, 0, 60,
10.793, 334, 195, 682, 93, 0, 60,
10.793, 337, 196, 703, 100, 0, 60,
10.826, 338, 194, 710, 87, 0, 60,
10.826, 341, 193, 731, 81, 0, 60,
10.826, 340, 192, 724, 75, 0, 60,
10.826, 341, 192, 731, 75, 0, 60,
10.826, 339, 194, 717, 87, 0, 60,
10.826, 334, 197, 682, 106, 0, 60,
10.859, 329, 201, 648, 131, 0, 60,
10.859, 324, 204, 613, 150, 0, 60,
10.859, 323, 207, 606, 168, 0, 60,
10.859, 320, 209, 586, 181, 0, 60,
10.859, 318, 214, 572, 212, 0, 60,
10.859, 315, 215, 551, 218, 0, 60,
10.859, 310, 218, 517, 237, 0, 60,
10.892, 304, 219, 475, 243, 0, 60,
10.892, 302, 219, 462, 243, 30, 30,
10.892, 296, 223, 420, 268, 30, 30,
